state,county_name,county_fips,trump_votes,biden_votes,total_votes,percent_biden,winner
TENNESSEE,ROANE,47145,19230,6043,25273,23.910893047916748,Trump
TENNESSEE,ROBERTSON,47147,24536,8692,33228,26.158661369928975,Trump
TENNESSEE,RUTHERFORD,47149,81480,59341,140821,42.13931160835387,Trump
TENNESSEE,SCOTT,47151,8004,986,8990,10.967741935483872,Trump
TENNESSEE,SEQUATCHIE,47153,5855,1298,7153,18.14623235006291,Trump
TENNESSEE,SEVIER,47155,33783,8721,42504,20.518068887634104,Trump
TENNESSEE,SHELBY,47157,129815,246105,375920,65.46738667801661,Biden
TENNESSEE,SMITH,47159,7136,1802,8938,20.161109867979413,Trump
TENNESSEE,STEWART,47161,4950,1232,6182,19.9288256227758,Trump
TENNESSEE,SULLIVAN,47163,55860,17272,73132,23.617568232784553,Trump
TENNESSEE,SUMNER,47165,63454,27680,91134,30.372857550420264,Trump
TENNESSEE,TIPTON,47167,20070,6837,26907,25.409744676106587,Trump
TENNESSEE,TROUSDALE,47169,2936,1012,3948,25.633232016210737,Trump
TENNESSEE,UNICOI,47171,6599,1615,8214,19.66155344533723,Trump
TENNESSEE,UNION,47173,6803,1249,8052,15.511674118231495,Trump
TENNESSEE,VAN BUREN,47175,2342,544,2886,18.84961884961885,Trump
TENNESSEE,WARREN,47177,11850,3924,15774,24.87637885127425,Trump
TENNESSEE,WASHINGTON,47179,40444,18638,59082,31.54598693341458,Trump
TENNESSEE,WAYNE,47181,5795,820,6615,12.396069538926682,Trump
TENNESSEE,WEAKLEY,47183,10396,3020,13416,22.510435301132976,Trump
TENNESSEE,WHITE,47185,9606,2143,11749,18.23985020001702,Trump
TENNESSEE,WILLIAMSON,47187,86469,50161,136630,36.71302056649345,Trump
TENNESSEE,WILSON,47189,50296,22254,72550,30.67401791867678,Trump
TEXAS,ANDERSON,48001,15110,3955,19065,20.744820351429322,Trump
TEXAS,ANDREWS,48003,4943,850,5793,14.672881063352323,Trump
TEXAS,ANGELINA,48005,25076,9143,34219,26.719074198544668,Trump
TEXAS,ARANSAS,48007,9239,2916,12155,23.990127519539286,Trump
TEXAS,ARCHER,48009,4300,446,4746,9.397387273493468,Trump
TEXAS,ARMSTRONG,48011,1035,75,1110,6.756756756756757,Trump
TEXAS,ATASCOSA,48013,12039,5876,17915,32.799330170248396,Trump
TEXAS,AUSTIN,48015,11447,2951,14398,20.49590220864009,Trump
TEXAS,BAILEY,48017,1434,409,1843,22.192078133478024,Trump
TEXAS,BANDERA,48019,10057,2505,12562,19.941092182773442,Trump
TEXAS,BASTROP,48021,20516,15474,35990,42.99527646568491,Trump
TEXAS,BAYLOR,48023,1494,183,1677,10.912343470483005,Trump
TEXAS,BEE,48025,6006,3288,9294,35.37766300839251,Trump
TEXAS,BELL,48027,67893,57014,124907,45.645159999039286,Trump
TEXAS,BEXAR,48029,308618,448452,757070,59.23520942581268,Biden
TEXAS,BLANCO,48031,5443,1911,7354,25.985858036442757,Trump
TEXAS,BORDEN,48033,397,16,413,3.87409200968523,Trump
TEXAS,BOSQUE,48035,7469,1561,9030,17.286821705426355,Trump
TEXAS,BOWIE,48037,27116,10747,37863,28.383910413860498,Trump
TEXAS,BRAZORIA,48039,90433,62228,152661,40.76221169781411,Trump
TEXAS,BRAZOS,48041,47530,35349,82879,42.65133507884989,Trump
TEXAS,BREWSTER,48043,2461,2258,4719,47.849120576393304,Trump
TEXAS,BRISCOE,48045,639,78,717,10.87866108786611,Trump
TEXAS,BROOKS,48047,998,1470,2468,59.56239870340356,Biden
